W0,D1,D2
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
1000.0,1000.0,1000.0
